threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,negative_predictive_value,f1,youden_j,true_negative,false_positive,false_negative,true_positive
0.38999999999999996,0.7114624505928854,0.711131957473421,0.7049180327868853,0.6991869918699187,0.6991869918699187,0.7230769230769231,0.7175572519083969,0.7020408163265306,0.4222639149468419,94,36,37,86
0.39499999999999996,0.7154150197628458,0.7149781113195748,0.7107438016528925,0.6991869918699187,0.6991869918699187,0.7307692307692307,0.7196969696969697,0.7049180327868853,0.42995622263914957,95,35,37,86
0.39999999999999997,0.7154150197628458,0.7149781113195748,0.7107438016528925,0.6991869918699187,0.6991869918699187,0.7307692307692307,0.7196969696969697,0.7049180327868853,0.42995622263914957,95,35,37,86
0.40499999999999997,0.7154150197628458,0.7149781113195748,0.7107438016528925,0.6991869918699187,0.6991869918699187,0.7307692307692307,0.7196969696969697,0.7049180327868853,0.42995622263914957,95,35,37,86
0.4099999999999999,0.7154150197628458,0.7149781113195748,0.7107438016528925,0.6991869918699187,0.6991869918699187,0.7307692307692307,0.7196969696969697,0.7049180327868853,0.42995622263914957,95,35,37,86
0.4149999999999999,0.7114624505928854,0.7109130706691682,0.7083333333333334,0.6910569105691057,0.6910569105691057,0.7307692307692307,0.7142857142857143,0.6995884773662552,0.4218261413383364,95,35,38,85
0.41999999999999993,0.7114624505928854,0.7109130706691682,0.7083333333333334,0.6910569105691057,0.6910569105691057,0.7307692307692307,0.7142857142857143,0.6995884773662552,0.4218261413383364,95,35,38,85
0.42499999999999993,0.7114624505928854,0.7109130706691682,0.7083333333333334,0.6910569105691057,0.6910569105691057,0.7307692307692307,0.7142857142857143,0.6995884773662552,0.4218261413383364,95,35,38,85
0.42999999999999994,0.7114624505928854,0.7109130706691682,0.7083333333333334,0.6910569105691057,0.6910569105691057,0.7307692307692307,0.7142857142857143,0.6995884773662552,0.4218261413383364,95,35,38,85
0.43499999999999994,0.7075098814229249,0.7068480300187617,0.7058823529411765,0.6829268292682927,0.6829268292682927,0.7307692307692307,0.7089552238805971,0.6942148760330579,0.41369606003752346,95,35,39,84
0.43999999999999995,0.7075098814229249,0.7068480300187617,0.7058823529411765,0.6829268292682927,0.6829268292682927,0.7307692307692307,0.7089552238805971,0.6942148760330579,0.41369606003752346,95,35,39,84
0.44499999999999995,0.7075098814229249,0.7068480300187617,0.7058823529411765,0.6829268292682927,0.6829268292682927,0.7307692307692307,0.7089552238805971,0.6942148760330579,0.41369606003752346,95,35,39,84
0.44999999999999996,0.7114624505928854,0.7106941838649157,0.711864406779661,0.6829268292682927,0.6829268292682927,0.7384615384615385,0.7111111111111111,0.6970954356846473,0.42138836772983135,96,34,39,84
0.45499999999999996,0.7114624505928854,0.7106941838649157,0.711864406779661,0.6829268292682927,0.6829268292682927,0.7384615384615385,0.7111111111111111,0.6970954356846473,0.42138836772983135,96,34,39,84
0.45999999999999996,0.7114624505928854,0.7106941838649157,0.711864406779661,0.6829268292682927,0.6829268292682927,0.7384615384615385,0.7111111111111111,0.6970954356846473,0.42138836772983135,96,34,39,84
0.4649999999999999,0.7075098814229249,0.7066291432145091,0.7094017094017094,0.6747967479674797,0.6747967479674797,0.7384615384615385,0.7058823529411765,0.6916666666666667,0.4132582864290182,96,34,40,83
0.4699999999999999,0.7075098814229249,0.7066291432145091,0.7094017094017094,0.6747967479674797,0.6747967479674797,0.7384615384615385,0.7058823529411765,0.6916666666666667,0.4132582864290182,96,34,40,83
0.4749999999999999,0.7114624505928854,0.7104752970606629,0.7155172413793104,0.6747967479674797,0.6747967479674797,0.7461538461538462,0.708029197080292,0.694560669456067,0.42095059412132585,97,33,40,83
0.4799999999999999,0.7114624505928854,0.7104752970606629,0.7155172413793104,0.6747967479674797,0.6747967479674797,0.7461538461538462,0.708029197080292,0.694560669456067,0.42095059412132585,97,33,40,83
0.48499999999999993,0.7154150197628458,0.7143214509068168,0.7217391304347827,0.6747967479674797,0.6747967479674797,0.7538461538461538,0.7101449275362319,0.6974789915966386,0.4286429018136335,98,32,40,83
0.48999999999999994,0.7154150197628458,0.7143214509068168,0.7217391304347827,0.6747967479674797,0.6747967479674797,0.7538461538461538,0.7101449275362319,0.6974789915966386,0.4286429018136335,98,32,40,83
0.49499999999999994,0.7233201581027668,0.7220137585991244,0.7345132743362832,0.6747967479674797,0.6747967479674797,0.7692307692307693,0.7142857142857143,0.7033898305084746,0.44402751719824884,100,30,40,83
0.49999999999999994,0.7233201581027668,0.7220137585991244,0.7345132743362832,0.6747967479674797,0.6747967479674797,0.7692307692307693,0.7142857142857143,0.7033898305084746,0.44402751719824884,100,30,40,83
0.5049999999999999,0.7233201581027668,0.7220137585991244,0.7345132743362832,0.6747967479674797,0.6747967479674797,0.7692307692307693,0.7142857142857143,0.7033898305084746,0.44402751719824884,100,30,40,83
0.5099999999999999,0.7272727272727273,0.7258599124452783,0.7410714285714286,0.6747967479674797,0.6747967479674797,0.7769230769230769,0.7163120567375887,0.7063829787234043,0.4517198248905565,101,29,40,83
0.5149999999999999,0.7272727272727273,0.7258599124452783,0.7410714285714286,0.6747967479674797,0.6747967479674797,0.7769230769230769,0.7163120567375887,0.7063829787234043,0.4517198248905565,101,29,40,83
0.5199999999999999,0.7272727272727273,0.7258599124452783,0.7410714285714286,0.6747967479674797,0.6747967479674797,0.7769230769230769,0.7163120567375887,0.7063829787234043,0.4517198248905565,101,29,40,83
0.5249999999999999,0.7272727272727273,0.7258599124452783,0.7410714285714286,0.6747967479674797,0.6747967479674797,0.7769230769230769,0.7163120567375887,0.7063829787234043,0.4517198248905565,101,29,40,83
0.5299999999999999,0.7351778656126482,0.7335522201375859,0.7545454545454545,0.6747967479674797,0.6747967479674797,0.7923076923076923,0.7202797202797203,0.7124463519313304,0.46710444027517184,103,27,40,83
0.5349999999999999,0.7351778656126482,0.7335522201375859,0.7545454545454545,0.6747967479674797,0.6747967479674797,0.7923076923076923,0.7202797202797203,0.7124463519313304,0.46710444027517184,103,27,40,83
0.5399999999999999,0.7351778656126482,0.7335522201375859,0.7545454545454545,0.6747967479674797,0.6747967479674797,0.7923076923076923,0.7202797202797203,0.7124463519313304,0.46710444027517184,103,27,40,83
0.5449999999999999,0.7351778656126482,0.7335522201375859,0.7545454545454545,0.6747967479674797,0.6747967479674797,0.7923076923076923,0.7202797202797203,0.7124463519313304,0.46710444027517184,103,27,40,83
0.5499999999999999,0.7351778656126482,0.7335522201375859,0.7545454545454545,0.6747967479674797,0.6747967479674797,0.7923076923076923,0.7202797202797203,0.7124463519313304,0.46710444027517184,103,27,40,83
0.5549999999999999,0.7351778656126482,0.7335522201375859,0.7545454545454545,0.6747967479674797,0.6747967479674797,0.7923076923076923,0.7202797202797203,0.7124463519313304,0.46710444027517184,103,27,40,83
0.5599999999999999,0.7351778656126482,0.7335522201375859,0.7545454545454545,0.6747967479674797,0.6747967479674797,0.7923076923076923,0.7202797202797203,0.7124463519313304,0.46710444027517184,103,27,40,83
0.565,0.7351778656126482,0.7333333333333334,0.7592592592592593,0.6666666666666666,0.6666666666666666,0.8,0.7172413793103448,0.70995670995671,0.4666666666666668,104,26,41,82
0.57,0.7351778656126482,0.7333333333333334,0.7592592592592593,0.6666666666666666,0.6666666666666666,0.8,0.7172413793103448,0.70995670995671,0.4666666666666668,104,26,41,82
0.575,0.7430830039525692,0.7410256410256411,0.7735849056603774,0.6666666666666666,0.6666666666666666,0.8153846153846154,0.7210884353741497,0.7161572052401747,0.4820512820512821,106,24,41,82
0.58,0.7430830039525692,0.7410256410256411,0.7735849056603774,0.6666666666666666,0.6666666666666666,0.8153846153846154,0.7210884353741497,0.7161572052401747,0.4820512820512821,106,24,41,82
0.585,0.7430830039525692,0.7410256410256411,0.7735849056603774,0.6666666666666666,0.6666666666666666,0.8153846153846154,0.7210884353741497,0.7161572052401747,0.4820512820512821,106,24,41,82
0.59,0.7391304347826086,0.7369606003752345,0.7714285714285715,0.6585365853658537,0.6585365853658537,0.8153846153846154,0.7162162162162162,0.7105263157894737,0.47392120075046895,106,24,42,81
0.595,0.7391304347826086,0.7369606003752345,0.7714285714285715,0.6585365853658537,0.6585365853658537,0.8153846153846154,0.7162162162162162,0.7105263157894737,0.47392120075046895,106,24,42,81
0.5999999999999999,0.7391304347826086,0.7369606003752345,0.7714285714285715,0.6585365853658537,0.6585365853658537,0.8153846153846154,0.7162162162162162,0.7105263157894737,0.47392120075046895,106,24,42,81
0.6049999999999999,0.7391304347826086,0.7369606003752345,0.7714285714285715,0.6585365853658537,0.6585365853658537,0.8153846153846154,0.7162162162162162,0.7105263157894737,0.47392120075046895,106,24,42,81
0.6099999999999999,0.7391304347826086,0.7369606003752345,0.7714285714285715,0.6585365853658537,0.6585365853658537,0.8153846153846154,0.7162162162162162,0.7105263157894737,0.47392120075046895,106,24,42,81
0.6149999999999999,0.7391304347826086,0.7369606003752345,0.7714285714285715,0.6585365853658537,0.6585365853658537,0.8153846153846154,0.7162162162162162,0.7105263157894737,0.47392120075046895,106,24,42,81
0.6199999999999999,0.7391304347826086,0.7369606003752345,0.7714285714285715,0.6585365853658537,0.6585365853658537,0.8153846153846154,0.7162162162162162,0.7105263157894737,0.47392120075046895,106,24,42,81
0.6249999999999999,0.7391304347826086,0.7365228267667292,0.7821782178217822,0.6422764227642277,0.6422764227642277,0.8307692307692308,0.7105263157894737,0.7053571428571429,0.4730456535334584,108,22,44,79
0.6299999999999999,0.7391304347826086,0.7365228267667292,0.7821782178217822,0.6422764227642277,0.6422764227642277,0.8307692307692308,0.7105263157894737,0.7053571428571429,0.4730456535334584,108,22,44,79
0.6349999999999999,0.7391304347826086,0.7365228267667292,0.7821782178217822,0.6422764227642277,0.6422764227642277,0.8307692307692308,0.7105263157894737,0.7053571428571429,0.4730456535334584,108,22,44,79
0.6399999999999999,0.7391304347826086,0.7365228267667292,0.7821782178217822,0.6422764227642277,0.6422764227642277,0.8307692307692308,0.7105263157894737,0.7053571428571429,0.4730456535334584,108,22,44,79
0.6449999999999999,0.7391304347826086,0.7365228267667292,0.7821782178217822,0.6422764227642277,0.6422764227642277,0.8307692307692308,0.7105263157894737,0.7053571428571429,0.4730456535334584,108,22,44,79
0.6499999999999999,0.7430830039525692,0.740368980612883,0.79,0.6422764227642277,0.6422764227642277,0.8384615384615385,0.7124183006535948,0.7085201793721974,0.48073796122576606,109,21,44,79
0.6549999999999999,0.7470355731225297,0.7442151344590369,0.797979797979798,0.6422764227642277,0.6422764227642277,0.8461538461538461,0.7142857142857143,0.7117117117117117,0.48843026891807373,110,20,44,79
0.6599999999999999,0.7430830039525692,0.7401500938086304,0.7959183673469388,0.6341463414634146,0.6341463414634146,0.8461538461538461,0.7096774193548387,0.7058823529411765,0.4803001876172608,110,20,45,78
0.6649999999999999,0.7430830039525692,0.7401500938086304,0.7959183673469388,0.6341463414634146,0.6341463414634146,0.8461538461538461,0.7096774193548387,0.7058823529411765,0.4803001876172608,110,20,45,78
0.6699999999999999,0.7351778656126482,0.7320200125078173,0.7916666666666666,0.6178861788617886,0.6178861788617886,0.8461538461538461,0.7006369426751592,0.6940639269406392,0.4640400250156347,110,20,47,76
0.6749999999999999,0.7351778656126482,0.7320200125078173,0.7916666666666666,0.6178861788617886,0.6178861788617886,0.8461538461538461,0.7006369426751592,0.6940639269406392,0.4640400250156347,110,20,47,76
0.6799999999999999,0.7312252964426877,0.7277360850531582,0.7956989247311828,0.6016260162601627,0.6016260162601627,0.8538461538461538,0.69375,0.6851851851851852,0.45547217010631647,111,19,49,74
0.6849999999999999,0.7351778656126482,0.7315822388993121,0.8043478260869565,0.6016260162601627,0.6016260162601627,0.8615384615384616,0.6956521739130435,0.6883720930232559,0.46316447779862413,112,18,49,74
0.69,0.7351778656126482,0.7315822388993121,0.8043478260869565,0.6016260162601627,0.6016260162601627,0.8615384615384616,0.6956521739130435,0.6883720930232559,0.46316447779862413,112,18,49,74
0.695,0.7312252964426877,0.727298311444653,0.8089887640449438,0.5853658536585366,0.5853658536585366,0.8692307692307693,0.6890243902439024,0.6792452830188679,0.4545966228893059,113,17,51,72
0.7,0.7312252964426877,0.7270794246404002,0.8160919540229885,0.5772357723577236,0.5772357723577236,0.8769230769230769,0.6867469879518072,0.6761904761904762,0.4541588492808004,114,16,52,71
0.7049999999999998,0.7312252964426877,0.7270794246404002,0.8160919540229885,0.5772357723577236,0.5772357723577236,0.8769230769230769,0.6867469879518072,0.6761904761904762,0.4541588492808004,114,16,52,71
0.7099999999999999,0.7272727272727273,0.7230143839899937,0.813953488372093,0.5691056910569106,0.5691056910569106,0.8769230769230769,0.6826347305389222,0.6698564593301436,0.4460287679799875,114,16,53,70
0.7149999999999999,0.7351778656126482,0.7307066916823015,0.8333333333333334,0.5691056910569106,0.5691056910569106,0.8923076923076924,0.6863905325443787,0.6763285024154589,0.461413383364603,116,14,53,70
0.7199999999999999,0.7312252964426877,0.7264227642276423,0.8395061728395061,0.5528455284552846,0.5528455284552846,0.9,0.6802325581395349,0.6666666666666666,0.4528455284552846,117,13,55,68
0.7249999999999999,0.7312252964426877,0.7262038774233897,0.8481012658227848,0.5447154471544715,0.5447154471544715,0.9076923076923077,0.6781609195402298,0.6633663366336634,0.4524077548467793,118,12,56,67
0.7299999999999999,0.7272727272727273,0.7221388367729831,0.8461538461538461,0.5365853658536586,0.5365853658536586,0.9076923076923077,0.6742857142857143,0.6567164179104478,0.44427767354596615,118,12,57,66
0.7349999999999999,0.7193675889328063,0.7140087554721701,0.8421052631578947,0.5203252032520326,0.5203252032520326,0.9076923076923077,0.6666666666666666,0.6432160804020101,0.42801751094434026,118,12,59,64
0.7399999999999999,0.7193675889328063,0.7137898686679174,0.8513513513513513,0.5121951219512195,0.5121951219512195,0.9153846153846154,0.664804469273743,0.6395939086294417,0.42757973733583476,119,11,60,63
0.7449999999999999,0.7193675889328063,0.7137898686679174,0.8513513513513513,0.5121951219512195,0.5121951219512195,0.9153846153846154,0.664804469273743,0.6395939086294417,0.42757973733583476,119,11,60,63
